Node,level,msg,time,B1_Cpu,B1_Memory,B1_QueueLength,B1_QueueTime,B1_ServiceTime,B1_ResponseTime,B1_InterArrivalTime,B1_Throughput,B1_m,B1_TimestampDiff,B2_Cpu,B2_Memory,B2_QueueLength,B2_QueueTime,B2_ServiceTime,B2_ResponseTime,B2_InterArrivalTime,B2_Throughput,B2_m,B2_TimestampDiff,B3_Cpu,B3_Memory,B3_QueueLength,B3_QueueTime,B3_ServiceTime,B3_ResponseTime,B3_InterArrivalTime,B3_Throughput,B3_m,B3_TimestampDiff,B4_Cpu,B4_Memory,B4_QueueLength,B4_QueueTime,B4_ServiceTime,B4_ResponseTime,B4_InterArrivalTime,B4_Throughput,B4_m,B4_TimestampDiff,B5_Cpu,B5_Memory,B5_QueueLength,B5_QueueTime,B5_ServiceTime,B5_ResponseTime,B5_InterArrivalTime,B5_Throughput,B5_m,B5_TimestampDiff
localhost:50002,info,Advertisement(apple > 0.7236268522021763) 07c7ab90-9f49-4098-af9e-b3920f731f1e,2024-08-03 19:29:50,,,,,,,,,,,100.171272,27045888.0,1.0,2.052545,1.162264,3.214809,1.021822,0.311061,25.653738501,,,,,,,,,,,,100.450703,26329088.0,1.0,2.583787,1.151612,3.735399,0.99568,0.267709,23.550233701,,99.743146,24834048.0,2.0,2.043579,1.166175,3.209754,1.157942,0.31155,20.964563001,
localhost:50002,info,Advertisement(apple > 0.7810559387140023) 2c60551f-3e33-40e9-8c89-350309a99305,2024-08-03 19:29:51,99.779984,25882624.0,7.0,5.495529,1.167767,6.663296,0.766762,0.150076,24.461457601,,100.174454,27340800.0,1.0,2.362396,1.170878,3.533275,1.049966,0.283024,26.822750901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
localhost:50002,info,Advertisement(apple > 0.8258262475073204) 3994c703-d25c-42fc-87f8-a658eb4869c4,2024-08-03 19:29:53,,,,,,,,,,,100.254564,27734016.0,1.0,2.053298,1.16951,3.222808,1.056849,0.310288,27.985779801,,,,,,,,,,,,100.39406,26685440.0,1.0,1.600499,1.164816,2.765315,1.079086,0.361622,25.882512901,,,,,,,,,,,
localhost:50002,info,Advertisement(apple > 0.8921849418719545) 595e17de-e34b-40c4-98e0-df7900803af3,2024-08-03 19:29:54,,,,,,,,,,,100.208991,28110848.0,1.0,2.052891,1.16554,3.218431,1.061262,0.31071,29.152349001,,,,,,,,,,,,100.387697,27049984.0,2.0,1.605108,1.166472,2.77158,1.033543,0.360805,27.051498701,,99.796402,25178112.0,1.0,1.160708,1.16201,2.322718,1.272427,0.43053,25.446861401,
localhost:50002,info,Advertisement(apple > 0.3759775276987754) 631fc2e5-0769-40d9-835f-506928b0ad90,2024-08-03 19:29:55,,,,,,,,,,,100.229589,28372992.0,1.0,2.079797,1.163698,3.243495,1.100737,0.308309,30.315538401,,99.831274,28340224.0,19.0,9.268916,0.909619,10.178535,0.482144,0.098246,28.229740201,,,,,,,,,,,,,,,,,,,,,
localhost:50002,info,Advertisement(apple > 0.7810559387140023) 2899cc09-b300-4527-9b4e-29fdab8e4178,2024-08-03 19:29:56,,,,,,,,,,,100.195367,28741632.0,3.0,1.432859,1.163548,2.596407,1.013289,0.385148,31.479889201,,99.890766,28975104.0,22.0,11.079205,0.90224,11.981445,0.466649,0.083462,30.043029501,,,,,,,,,,,,,,,,,,,,,
localhost:50002,info,Advertisement(apple > 0.5097332217888795) 52578bff-bb4c-4eaa-9aa6-b3ba33b2c908,2024-08-03 19:29:57,,,,,,,,,,,100.197705,28839936.0,3.0,1.780697,1.15835,2.939047,1.01995,0.340246,32.633116901,,,,,,,,,,,,100.33735,27500544.0,1.0,1.161624,1.171577,2.333201,1.104778,0.428596,30.802460401,,,,,,,,,,,
localhost:50002,info,Advertisement(apple > 0.7236268522021763) cd79908f-1f25-4b54-a0f8-1d4f05bb4833,2024-08-03 19:29:58,,,,,,,,,,,100.199951,28966912.0,2.0,2.846396,1.158229,4.004625,1.01995,0.249711,33.801915301,,99.935569,29102080.0,21.0,11.987656,0.909049,12.896705,0.466649,0.077539,30.952015801,,,,,,,,,,,,,,,,,,,,,
localhost:50002,info,Advertisement(apple > 0.8450032005452546) 5affadd0-8d65-471e-9afb-c1e84c02bd34,2024-08-03 19:30:00,99.849964,26734592.0,9.0,7.093402,1.161272,8.254673,0.761951,0.121143,31.423477901,,100.199243,29315072.0,2.0,3.546279,1.170799,4.717078,1.050275,0.211996,34.971693201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
localhost:50002,info,Advertisement(apple > 0.48071105719796786) 515dc1b0-4e1c-4a62-a42d-dc0f40581968,2024-08-03 19:30:01,99.865643,27062272.0,10.0,8.2609,1.170214,9.431114,0.757118,0.106032,32.591985201,,100.171441,29523968.0,1.0,3.543788,1.167826,4.711614,1.050275,0.212241,36.135670001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
