AverageQueueTime,AverageServiceTime,AverageThroughput,Bottleneck,B2_Cpu,B2_InterArrivalTime,B2_Memory,MessageCount,B2_QueueLength,B2_QueueTime,B2_ResponseTime,B2_ServiceTime,B2_Throughput,TotalArrival Time,level,msg,time,Node,B1_Cpu,B1_Memory,B1_QueueLength,B1_QueueTime,B1_ServiceTime,B1_ResponseTime,B1_InterArrivalTime,B1_Throughput,B1_m,B1_TimestampDiff,B2_m,B2_TimestampDiff,B3_Cpu,B3_Memory,B3_QueueLength,B3_QueueTime,B3_ServiceTime,B3_ResponseTime,B3_InterArrivalTime,B3_Throughput,B3_m,B3_TimestampDiff,B4_Cpu,B4_Memory,B4_QueueLength,B4_QueueTime,B4_ServiceTime,B4_ResponseTime,B4_InterArrivalTime,B4_Throughput,B4_m,B4_TimestampDiff,B5_Cpu,B5_Memory,B5_QueueLength,B5_QueueTime,B5_ServiceTime,B5_ResponseTime,B5_InterArrivalTime,B5_Throughput,B5_m,B5_TimestampDiff
2.616952,1.159575,0.264794,False,100.324775,0.910095,25321472.0,8,2.0,2.299258,3.461126,1.161868,0.288923,7.239784,info,Advertisement(apple > 0.32595673065644415) 528810ba-405a-4121-8473-365cb957a32e,2024-08-03 19:29:42,localhost:50002,,,,,,,,,,,17.500224901,,,,,,,,,,,,100.548148,24932352.0,0.0,1.601528,1.164555,2.766083,0.89482,0.361522,15.151461601,,,,,,,,,,,
2.571567,1.159628,0.268011,False,100.23891,0.910035,25714688.0,9,2.0,2.295912,3.455854,1.159941,0.289364,8.190854,info,Advertisement(apple > 0.6934348836845214) 7ddc043f-25e0-48b8-b695-eae920c81c61,2024-08-03 19:29:43,localhost:50002,,,,,,,,,,,18.668721801,,,,,,,,,,,,100.69675,25423872.0,2.0,1.159833,1.159572,2.319405,0.902479,0.431145,16.323850401,,99.88758,24076288.0,0.0,1.608075,1.167555,2.775631,1.073886,0.360278,15.162126301,
2.537110,1.160736,0.270428,False,100.247755,0.910074,26066944.0,10,2.0,2.512166,3.680663,1.168497,0.27169,9.100348,info,Advertisement(apple > 0.6934348836845214) b4db7c3b-3049-42a1-9427-68419b1d4147,2024-08-03 19:29:44,localhost:50002,,,,,,,,,,,19.836045501,,99.481699,25817088.0,9.0,3.724987,0.913776,4.638763,0.427412,0.215575,17.318878201,,,,,,,,,,,,,,,,,,,,,
2.534339,1.161305,0.270589,False,100.27074385804237,0.910074,26308608.0,11,1.0,2.512166,3.678016,1.165850,0.271886,10.010814,info,Performance Metrics,2024-08-03 19:29:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.558008,1.161457,0.268856,False,100.250686,0.916437,26370048.0,12,2.0,2.77103,3.93688,1.16585,0.254008,10.997248,info,Advertisement(apple > 0.32595673065644415) 9322ac2f-0997-4538-a0f5-58884ef0af85,2024-08-03 19:29:46,localhost:50002,,,,,,,,,,,21.004403601,,99.484277,26030080.0,9.0,4.635481,0.910727,5.546207,0.464088,0.180303,18.229372101,,,,,,,,,,,,,,,,,,,,,
2.558008,1.161457,0.268856,False,100.257137,0.916437,26386432.0,12,1.0,3.012489,4.175319,1.162829,0.239503,10.997248,info,Advertisement(apple > 0.7088200965846444) 0f06f0ed-1bb1-4f8f-87c0-92d6c2dbe200,2024-08-03 19:29:47,localhost:50002,,,,,,,,,,,22.156329201,,99.649843,26726400.0,13.0,5.543948,0.909495,6.453442,0.429595,0.154956,19.139839101,,,,,,,,,,,,,,,,,,,,,
2.599324,1.161333,0.265911,False,100.142994,1.089425,26685440.0,12,1.0,3.190324,4.350416,1.160092,0.229863,10.997248,info,Advertisement(apple > 0.3490346674372782) cafd68a7-0447-444f-996a-990fb5289f91,2024-08-03 19:29:48,localhost:50002,,,,,,,,,,,23.320597101,,,,,,,,,,,,100.607062,25911296.0,1.0,1.164448,1.157196,2.321644,1.056055,0.430729,20.081313901,,,,,,,,,,,
2.648574,1.161356,0.262472,False,100.216668,1.021822,27037696.0,14,2.0,1.19282,2.354424,1.161605,0.424732,14.468168,info,Advertisement(apple > 0.3490346674372782) 521c338d-986c-413f-8b64-a73396ff6dc9,2024-08-03 19:29:49,localhost:50002,99.751565,25513984.0,5.0,4.328719,1.164958,5.493677,0.774333,0.182027,23.293647401,,24.488364101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.536593,1.161425,0.270415,False,100.171272,1.021822,27045888.0,15,1.0,2.052545,3.214809,1.162264,0.311061,15.327329,info,Advertisement(apple > 0.7236268522021763) 07c7ab90-9f49-4098-af9e-b3920f731f1e,2024-08-03 19:29:50,localhost:50002,,,,,,,,,,,25.653738501,,,,,,,,,,,,100.450703,26329088.0,1.0,2.583787,1.151612,3.735399,0.99568,0.267709,23.550233701,,99.743146,24834048.0,2.0,2.043579,1.166175,3.209754,1.157942,0.31155,20.964563001,
2.502018,1.162101,0.272917,False,100.174454,1.049966,27340800.0,16,1.0,2.362396,3.533275,1.170878,0.283024,16.799456,info,Advertisement(apple > 0.7810559387140023) 2c60551f-3e33-40e9-8c89-350309a99305,2024-08-03 19:29:51,localhost:50002,99.779984,25882624.0,7.0,5.495529,1.167767,6.663296,0.766762,0.150076,24.461457601,,26.822750901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.492710,1.162595,0.273575,False,100.25481211448944,1.049966,27643904.0,16,0.0,2.362396,3.531906,1.169510,0.283133,16.799456,info,Performance Metrics,2024-08-03 19:29:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.465247,1.162779,0.275632,False,100.254564,1.056849,27734016.0,17,1.0,2.053298,3.222808,1.16951,0.310288,17.966432,info,Advertisement(apple > 0.8258262475073204) 3994c703-d25c-42fc-87f8-a658eb4869c4,2024-08-03 19:29:53,localhost:50002,,,,,,,,,,,27.985779801,,,,,,,,,,,,100.39406,26685440.0,1.0,1.600499,1.164816,2.765315,1.079086,0.361622,25.882512901,,,,,,,,,,,
