B1_Cpu,B1_Memory,B1_ResponseTime,B1_Throughput,B2_Cpu,B2_Memory,B2_ResponseTime,B2_Throughput,B3_Cpu,B3_Memory,B3_ResponseTime,B3_Throughput,B4_Cpu,B4_Memory,B4_ResponseTime,B4_Throughput,B5_Cpu,B5_Memory,B5_ResponseTime,B5_Throughput
0.0,0.0,0.0,0.0,100.199951,28966912.0,4.004625,0.24971100000000002,99.935569,29102080.0,12.896705,0.077539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,100.2152332475855,29196288.0,4.017195,0.24893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99.849964,26734592.0,8.254673,0.121143,100.19924300000001,29315072.0,4.717078,0.211996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99.865643,27062272.0,9.431113999999999,0.10603199999999999,100.171441,29523968.0,4.711614,0.21224099999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,100.170736,29925376.0,4.1301,0.242125,0.0,0.0,0.0,0.0,100.379983,28049408.0,3.741279,0.267288,99.835498,25833472.0,3.230328,0.309566
0.0,0.0,0.0,0.0,100.447139,31051776.0,3.216376,0.310909,99.92956600000001,30646272.0,12.994377,0.076956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,100.48116999999999,31211520.0,3.4647940000000004,0.288617,99.921269,30871552.0,13.908935000000001,0.071896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,100.512704,31371264.0,4.144358,0.241292,0.0,0.0,0.0,0.0,100.33763499999999,28631040.0,3.9317800000000003,0.254338,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,100.51998628846792,31457280.0,4.139114,0.241598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,100.49629399999999,31457280.0,4.88534,0.20469400000000001,99.942553,30912512.0,14.814243,0.067503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,100.463874,31510528.0,5.128824,0.194976,99.93145200000001,30924800.0,15.731816,0.063565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99.930799,27869184.0,11.029905,0.090663,100.46061,31584256.0,5.894014,0.169664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,100.465166,31612928.0,6.467593,0.154617,0.0,0.0,0.0,0.0,100.369038,29130752.0,4.901636,0.204014,99.892483,26083328.0,2.49828,0.400275
99.978623,28196864.0,12.210123,0.081899,100.435546,31776768.0,7.062299,0.141597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,100.473547,31842304.0,4.153324,0.240771,0.0,0.0,0.0,0.0,100.327709,30879744.0,5.541409,0.18045999999999998,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,100.4534714640556,31920128.0,4.158022,0.240499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,100.442824,31969280.0,2.781705,0.35949200000000003,99.95323,31334400.0,18.552404,0.053901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99.98204399999999,29118464.0,13.807253,0.072426,100.445711,31997952.0,3.578239,0.279467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,100.444999,32063488.0,4.205957,0.237758,99.949101,31477760.0,19.462682,0.051379999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,100.424413,32063488.0,5.3155779999999995,0.188126,0.0,0.0,0.0,0.0,100.315136,31240192.0,6.99499,0.142959,99.91046300000001,26750976.0,3.191274,0.313354
99.995997,30195712.0,14.972624,0.066789,100.45649300000001,32112640.0,5.916533,0.169018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,100.433356,32153600.0,6.786459,0.147352,99.945198,31551488.0,20.363082000000002,0.049108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,100.4199455173442,32215040.0,6.784807000000001,0.14738800000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,100.4338,32223232.0,6.484437000000001,0.15421500000000002,0.0,0.0,0.0,0.0,100.295428,31408128.0,6.005738,0.166507,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,100.404886,32260096.0,4.159216000000001,0.24043,0.0,0.0,0.0,0.0,100.25875500000001,31608832.0,7.007782000000001,0.142699,99.92408499999999,27480064.0,3.639646,0.274752
99.986812,30498816.0,16.58755,0.060286,100.415922,32366592.0,3.5967540000000002,0.278028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,100.407015,32456704.0,4.188593,0.238744,99.959262,31780864.0,22.26509,0.044913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99.991151,30629888.0,17.762992999999998,0.056297,100.389337,32452608.0,4.7663150000000005,0.209806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,100.394824,32509952.0,5.60663,0.17836,99.954001,31916032.0,23.176582,0.043147000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,100.38130527324068,32587776.0,5.607634,0.178328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,100.378976,32587776.0,6.495623,0.15395,0.0,0.0,0.0,0.0,100.247026,31744000.0,7.611267,0.131384,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,100.358184,32600064.0,7.028707000000001,0.142274,99.957142,31920128.0,24.07507,0.041537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,100.339792,32694272.0,7.283431,0.137298,99.944428,32165888.0,24.984428,0.040025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,100.34474200000001,32862208.0,6.501586,0.153809,0.0,0.0,0.0,0.0,100.234714,31944704.0,8.165746,0.12246300000000002,99.93850400000001,28037120.0,4.0916879999999995,0.244398
0.0,0.0,0.0,0.0,100.32412,33144832.0,5.352188,0.186839,0.0,0.0,0.0,0.0,100.257162,32169984.0,8.069938,0.12391700000000001,0.0,0.0,0.0,0.0
100.00190500000001,30908416.0,20.525346,0.04872,100.347365,33710080.0,4.780231,0.209195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,100.3567312637528,33783808.0,4.779794,0.20921399999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,100.343468,33783808.0,5.603144,0.178471,99.94494499999999,32645120.0,25.984236,0.038485000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.037124,30932992.0,21.691344,0.046100999999999996,100.340838,33878016.0,5.964729,0.167652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
