B1_Cpu,B1_Memory,B1_ResponseTime,B1_Throughput,B2_Cpu,B2_Memory,B2_ResponseTime,B2_Throughput,B3_Cpu,B3_Memory,B3_ResponseTime,B3_Throughput,B4_Cpu,B4_Memory,B4_ResponseTime,B4_Throughput,B5_Cpu,B5_Memory,B5_ResponseTime,B5_Throughput
0,0,0,0,100.424413,32063488,5.315578,0.188126,0,0,0,0,100.315136,31240192,6.99499,0.142959,99.910463,26750976,3.191274,0.313354
99.995997,30195712,14.972624,0.066789,100.456493,32112640,5.916533,0.169018,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.433356,32153600,6.786459,0.147352,99.945198,31551488,20.363082,0.049108,0,0,0,0,0,0,0,0
0,0,0,0,100.4199455,32215040,6.784807,0.147388,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.4338,32223232,6.484437,0.154215,0,0,0,0,100.295428,31408128,6.005738,0.166507,0,0,0,0
0,0,0,0,100.404886,32260096,4.159216,0.24043,0,0,0,0,100.258755,31608832,7.007782,0.142699,99.924085,27480064,3.639646,0.274752
99.986812,30498816,16.58755,0.060286,100.415922,32366592,3.596754,0.278028,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.407015,32456704,4.188593,0.238744,99.959262,31780864,22.26509,0.044913,0,0,0,0,0,0,0,0
99.991151,30629888,17.762993,0.056297,100.389337,32452608,4.766315,0.209806,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.394824,32509952,5.60663,0.17836,99.954001,31916032,23.176582,0.043147,0,0,0,0,0,0,0,0
0,0,0,0,100.3813053,32587776,5.607634,0.178328,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.378976,32587776,6.495623,0.15395,0,0,0,0,100.247026,31744000,7.611267,0.131384,0,0,0,0
0,0,0,0,100.358184,32600064,7.028707,0.142274,99.957142,31920128,24.07507,0.041537,0,0,0,0,0,0,0,0
0,0,0,0,100.339792,32694272,7.283431,0.137298,99.944428,32165888,24.984428,0.040025,0,0,0,0,0,0,0,0
0,0,0,0,100.344742,32862208,6.501586,0.153809,0,0,0,0,100.234714,31944704,8.165746,0.122463,99.938504,28037120,4.091688,0.244398
0,0,0,0,100.32412,33144832,5.352188,0.186839,0,0,0,0,100.257162,32169984,8.069938,0.123917,0,0,0,0
100.001905,30908416,20.525346,0.04872,100.347365,33710080,4.780231,0.209195,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.3567313,33783808,4.779794,0.209214,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.343468,33783808,5.603144,0.178471,99.944945,32645120,25.984236,0.038485,0,0,0,0,0,0,0,0
100.037124,30932992,21.691344,0.046101,100.340838,33878016,5.964729,0.167652,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.336741,33898496,7.038083,0.142084,99.943066,32698368,26.893845,0.037183,0,0,0,0,0,0,0,0
0,0,0,0,100.330212,33918976,7.714287,0.12963,0,0,0,0,100.25296,32370688,9.270761,0.107866,99.930636,28454912,3.43261,0.291323
0,0,0,0,100.32848,33943552,8.446154,0.118397,99.940695,33169408,27.794861,0.035978,0,0,0,0,0,0,0,0
0,0,0,0,100.325149,33972224,8.720247,0.114676,99.936385,33181696,28.706849,0.034835,0,0,0,0,0,0,0,0
0,0,0,0,100.3118436,34000896,8.721419,0.11466,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.320157,34000896,6.564269,0.15234,0,0,0,0,100.249077,32612352,10.858374,0.092095,0,0,0,0
100.007979,31064064,22.105451,0.045238,100.315456,34004992,7.169604,0.139478,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.289801,34009088,7.692969,0.129989,0,0,0,0,100.249701,32788480,10.473007,0.095484,99.936694,28827648,2.714883,0.36834
100.009722,31174656,23.278954,0.042957,100.28663,34029568,8.319402,0.120201,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.277268,34050048,8.149068,0.122713,99.951542,33234944,29.733124,0.033633,0,0,0,0,0,0,0,0
0,0,0,0,100.296034,34066432,8.407786,0.118937,99.944547,33255424,30.642154,0.032635,0,0,0,0,0,0,0,0
