date,HopCount,Timestamp_0,Cpu_0,Memory_0,InterArrivalTime_0,QueueLength_0,QueueTime_0,ServiceTime_0,ResponseTime_0,Throughput_0,Timestamp_1,Cpu_1,Memory_1,InterArrivalTime_1,QueueLength_1,QueueTime_1,ServiceTime_1,ResponseTime_1,Throughput_1,Cpu_2,Memory_2,InterArrivalTime_2,QueueLength_2,QueueTime_2,ServiceTime_2,ResponseTime_2,Throughput_2
2024-07-19 20:18:50,0.0,0.0,110.90138825998143,22654976,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-19 20:18:51,0.0,0.0,105.33906501607702,22982656,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-19 20:18:52,0.0,0.0,103.45771838338682,22982656,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-19 20:18:53,0.0,0.0,102.91105889605161,23216128,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-19 20:18:54,0.0,0.0,102.32382085452045,23232512,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-19 20:18:55,2.0,1.1171989999999994,101.676232,23638016,0.066711,2,1.111341,0.000000,1.111341,0.899814,0.0,101.081841,23465984,0.000528,3,0.913318,0.000000,0.913318,1.094909,0,0,0,0,0,0,0,0
2024-07-19 20:18:56,0.0,0.0,101.69166039855259,24031232,0.066711,1,1.111341,1.116846,2.228187,0.448795,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-19 20:18:57,2.0,1.9963763000000005,101.362330,24113152,0.454516,2,2.027086,1.116846,3.143933,0.318073,0.0,100.420386,23453696,0.000257,1,1.112224,0.000000,1.112224,0.899099,0,0,0,0,0,0,0,0
2024-07-19 20:18:58,2.0,3.1373879000000002,101.253352,24330240,0.454516,1,3.131370,1.113373,4.244743,0.235586,0.0,100.829635,23552000,0.000000,0,1.111716,0.000000,1.111716,0.899510,0,0,0,0,0,0,0,0
2024-07-19 20:18:59,2.0,2.6205471000000005,101.042022,24346624,0.454516,0,2.615014,1.101283,3.716297,0.269085,0.0,100.951314,24506368,0.250057,5,2.730641,0.912513,3.643154,0.274487,0,0,0,0,0,0,0,0
2024-07-19 20:19:00,0.0,0.0,101.00098460173278,24346624,0.454516,0,2.615014,1.101575,3.716588,0.269064,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-19 20:19:01,2.0,1.0786371999999993,100.934386,24567808,0.961178,1,1.108364,1.101575,2.209939,0.452501,0.0,100.196753,24313856,0.717199,1,1.642297,1.104032,2.746329,0.364122,0,0,0,0,0,0,0,0
2024-07-19 20:19:02,2.0,2.2162457,100.807897,25051136,0.859867,2,2.208202,1.116871,3.325072,0.300745,0.0,100.544299,24616960,0.836477,0,1.657787,1.101564,2.759351,0.362404,0,0,0,0,0,0,0,0
2024-07-19 20:19:03,2.0,2.1902119000000013,100.746478,25423872,0.907284,3,2.221417,1.113375,3.334792,0.299869,0.0,100.263333,24555520,0.781231,2,2.755625,1.115581,3.871206,0.258317,0,0,0,0,0,0,0,0
2024-07-19 20:19:04,3.0,3.321292400000001,100.694761,25714688,0.907562,3,3.315275,1.109732,4.425007,0.225988,1.129569,100.707510,25288704,0.864890,2,1.107869,1.119581,2.227450,0.448944,100.268962,23961600,1.004086,0,1.657275,1.102072,2.759347,0.362405
2024-07-19 20:19:05,0.0,0.0,100.79915612278795,25948160,0.907562,2,3.315275,1.111945,4.427220,0.225875,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-19 20:19:06,2.0,3.154668499999998,100.702821,26058752,0.908362,3,3.147134,1.111945,4.259079,0.234793,0.0,100.525146,25706496,0.468286,9,4.054663,0.902045,4.956708,0.201747,0,0,0,0,0,0,0,0
2024-07-19 20:19:07,2.0,3.3506351,100.665608,26361856,0.809542,4,3.345598,1.113596,4.459194,0.224256,0.0,100.451574,25878528,0.468286,8,4.965505,0.906300,5.871806,0.170305,0,0,0,0,0,0,0,0
2024-07-19 20:19:08,2.0,3.5537576999999985,100.686939,26685440,0.828163,4,3.548720,1.112364,4.661084,0.214542,0.0,100.399599,26361856,0.418369,12,5.874377,0.910900,6.785277,0.147378,0,0,0,0,0,0,0,0
2024-07-19 20:19:09,2.0,3.751620899999999,100.621862,26890240,0.828163,3,3.746583,1.110461,4.857044,0.205887,0.0,100.499459,26546176,0.444744,12,6.791463,0.909339,7.700802,0.129857,0,0,0,0,0,0,0,0
2024-07-19 20:19:10,2.0,4.413476899999999,100.720934,27250688,0.917558,3,4.442186,1.115022,5.557207,0.179946,0.0,100.115329,25292800,0.803053,4,2.190856,1.113541,3.304397,0.302627,0,0,0,0,0,0,0,0
2024-07-19 20:19:11,2.0,5.546726700000001,100.742766,27475968,0.917558,2,5.537708,1.111341,6.649050,0.150397,0.0,100.440946,25882624,0.940897,2,2.205821,1.112330,3.318151,0.301373,0,0,0,0,0,0,0,0
2024-07-19 20:19:12,2.0,5.530463899999997,100.757089,27766784,0.917558,1,5.562174,1.113030,6.675204,0.149808,0.0,100.113854,25513984,0.764573,4,3.297659,1.119198,4.416857,0.226405,0,0,0,0,0,0,0,0
2024-07-19 20:19:13,3.0,4.4296747,100.676448,28205056,1.004136,3,4.424657,1.115321,5.539978,0.180506,3.367043500000001,100.407954,26804224,0.864917,4,3.344344,1.117462,4.461807,0.224124,100.163759,24760320,1.095075,2,2.206364,1.109738,3.316101,0.301559
2024-07-19 20:19:14,0.0,0.0,100.69753388859583,28397568,1.004136,2,4.424657,1.119972,5.544630,0.180355,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-19 20:19:15,2.0,2.2009495,100.649176,28479488,0.999929,3,2.195932,1.119972,3.315904,0.301577,0.0,100.441791,27422720,0.859509,5,3.890363,1.111029,5.001392,0.199944,0,0,0,0,0,0,0,0
2024-07-19 20:19:16,2.0,3.1638926000000005,100.664792,28880896,0.950319,4,3.156358,1.107491,4.263849,0.234530,0.0,100.334273,27979776,0.472731,19,9.047014,0.916800,9.963814,0.100363,0,0,0,0,0,0,0,0
2024-07-19 20:19:17,2.0,3.3698526000000015,100.562218,29188096,0.927542,4,3.364816,1.114444,4.479260,0.223251,0.0,100.309595,28110848,0.472731,18,9.954293,0.907275,10.861568,0.092068,0,0,0,0,0,0,0,0
2024-07-19 20:19:18,2.0,3.5659922,100.521220,29433856,0.927542,3,3.559937,1.115869,4.675806,0.213867,0.0,100.309697,28663808,0.445800,22,10.871838,0.906849,11.778687,0.084899,0,0,0,0,0,0,0,0
2024-07-19 20:19:19,2.0,4.426357200000002,100.546223,30347264,0.927542,2,4.451032,1.116670,5.567702,0.179607,0.0,100.287567,26509312,0.742876,8,6.083791,1.108969,7.192759,0.139029,0,0,0,0,0,0,0,0
2024-07-19 20:19:20,2.0,4.891445600000001,100.484256,30523392,1.028130,2,4.885911,1.110056,5.995967,0.166779,0.0,100.289038,28839936,0.459494,22,11.779804,0.920002,12.699806,0.078741,0,0,0,0,0,0,0,0
2024-07-19 20:19:21,2.0,5.540395199999995,100.509816,30531584,1.053913,2,5.570717,1.114817,6.685534,0.149577,0.0,100.293970,26963968,0.735488,10,7.200237,1.123501,8.323738,0.120138,0,0,0,0,0,0,0,0
2024-07-19 20:19:22,2.0,3.3537459000000034,100.477399,30588928,1.037439,3,3.343727,1.119762,4.463490,0.224040,0.0,100.412177,28659712,0.864695,6,5.526571,1.107719,6.634290,0.150732,0,0,0,0,0,0,0,0
2024-07-19 20:19:23,2.0,2.7856470000000044,100.468798,30724096,0.970598,5,2.778112,1.112148,3.890260,0.257052,0.0,100.187435,30363648,0.459018,29,12.217565,0.901771,13.119336,0.076223,0,0,0,0,0,0,0,0
2024-07-19 20:19:24,0.0,0.0,100.47410262157732,30728192,0.939675,5,2.778112,1.102091,3.880203,0.257718,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-19 20:19:25,2.0,2.9812677000000036,100.455568,30732288,0.939675,5,2.974734,1.102091,4.076824,0.245289,0.0,100.208127,30384128,0.463822,29,13.129346,0.914969,14.044315,0.071203,0,0,0,0,0,0,0,0
2024-07-19 20:19:26,2.0,3.309433399999996,100.429098,30760960,0.979313,5,3.338167,1.115943,4.454111,0.224512,0.0,100.132072,27684864,0.731866,11,8.864319,1.112750,9.977069,0.100230,0,0,0,0,0,0,0,0
2024-07-19 20:19:27,2.0,4.293301,100.403589,30789632,0.979313,4,4.286264,1.111635,5.397899,0.185257,0.0,100.218475,30445568,0.474451,29,14.043745,0.912320,14.956065,0.066863,0,0,0,0,0,0,0,0
2024-07-19 20:19:28,2.0,4.500688699999998,100.454449,30900224,0.979313,3,4.494652,1.114718,5.609370,0.178273,0.0,100.205754,30502912,0.474451,28,14.951936,0.916952,15.868889,0.063016,0,0,0,0,0,0,0,0
2024-07-19 20:19:29,3.0,5.579353499999996,100.441209,30961664,0.979313,2,5.571205,1.116219,6.687424,0.149534,5.597701900000004,100.428597,29450240,0.875590,6,5.575364,1.113646,6.689010,0.149499,99.935285,26120192,1.002916,2,4.388734,1.102807,5.491541,0.182098
2024-07-19 20:19:30,2.0,6.646805300000004,100.405450,31014912,0.979313,1,6.678516,1.114942,7.793458,0.128313,0.0,100.136199,27856896,0.761577,11,9.985365,1.118159,11.103524,0.090061,0,0,0,0,0,0,0,0
2024-07-19 20:19:31,2.0,5.584234600000002,100.396335,31068160,1.085476,2,5.579217,1.116062,6.695279,0.149359,0.0,100.348856,30511104,0.891672,7,7.174429,1.106437,8.280867,0.120760,0,0,0,0,0,0,0,0
2024-07-19 20:19:32,2.0,1.1036301999999978,100.385940,31158272,1.055563,3,1.133340,1.106744,2.240084,0.446412,0.0,100.084555,29167616,0.742417,16,12.728361,1.103614,13.831975,0.072296,0,0,0,0,0,0,0,0
