date,HopCount,Timestamp_0,BrokerId_0,Cpu_0,Memory_0,InterArrivalTime_0,QueueLength_0,QueueTime_0,ServiceTime_0,ResponseTime_0,Throughput_0,Timestamp_1,BrokerId_1,Cpu_1,Memory_1,InterArrivalTime_1,QueueLength_1,QueueTime_1,ServiceTime_1,ResponseTime_1,Throughput_1,BrokerId_2,Cpu_2,Memory_2,InterArrivalTime_2,QueueLength_2,QueueTime_2,ServiceTime_2,ResponseTime_2,Throughput_2
2024-07-31 15:48:26,2.0,4.567298299999997,2.0,100.315151,26857472,0.902182,3,4.582171,1.161166,5.743337,0.174115,0.0,3.0,100.619007,25780224,0.502256,8,3.689516,0.921249,4.610766,0.216884,0.0,0,0,0,0,0,0,0,0
2024-07-31 15:48:27,2.0,4.824907400000001,2.0,100.294449,27234304,0.866045,3,4.839780,1.159863,5.999643,0.166677,0.0,3.0,100.623892,25907200,0.502256,7,4.603754,0.913012,5.516766,0.181266,0.0,0,0,0,0,0,0,0,0
2024-07-31 15:48:28,2.0,5.069285600000001,2.0,100.275597,27680768,0.879874,4,5.084159,1.170930,6.255090,0.159870,0.0,3.0,100.804566,26451968,0.470730,11,5.515657,0.915322,6.430979,0.155497,0.0,0,0,0,0,0,0,0,0
2024-07-31 15:48:29,2.0,3.636623499999999,2.0,100.218751,27910144,0.879874,3,3.641285,1.157388,4.798673,0.208391,0.0,4.0,100.312269,26210304,0.916246,3,2.709554,1.164223,3.873777,0.258146,0.0,0,0,0,0,0,0,0,0
2024-07-31 15:48:30,2.0,4.431488599999998,2.0,100.241887,28147712,0.958749,3,4.444361,1.167407,5.611768,0.178197,0.0,1.0,100.196315,25767936,0.760600,6,3.070148,1.164519,4.234667,0.236146,0.0,0,0,0,0,0,0,0,0
2024-07-31 15:48:31,2.0,4.4351764,2.0,100.270625,28434432,0.955994,3,4.450050,1.162208,5.612258,0.178181,0.0,1.0,100.181362,26013696,0.782197,6,4.226553,1.161031,5.387584,0.185612,0.0,0,0,0,0,0,0,0,0
2024-07-31 15:48:32,0.0,0.0,0.0,100.26750800725624,28631040,0.955994,2,4.450050,1.163130,5.613179,0.178152,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
2024-07-31 15:48:33,3.0,4.798452899999997,2.0,100.273772,28729344,0.954119,3,4.806114,1.163130,5.969244,0.167525,3.872123900000002,4.0,100.272774,26832896,0.928764,3,3.873846,1.167933,5.041779,0.198343,5.0,100.051668,24129536,1.401961,1,1.158956,1.158419,2.317375,0.431523
2024-07-31 15:48:34,2.0,3.656680299999998,2.0,100.240397,29155328,0.944622,4,3.669552,1.166807,4.836359,0.206767,0.0,3.0,100.579865,27611136,0.520743,13,7.336951,0.912507,8.249458,0.121220,0.0,0,0,0,0,0,0,0,0
2024-07-31 15:48:35,2.0,3.907489299999998,2.0,100.319161,29433856,0.944622,3,3.923363,1.162059,5.085422,0.196641,0.0,3.0,100.548880,28078080,0.482835,17,8.245316,0.907528,9.152845,0.109256,0.0,0,0,0,0,0,0,0,0
