time,Node,level,msg,HopCount,QueueTime_0,Throughput_0,InterArrivalTime_0,QueueLength_0,Cpu_0,ServiceTime_0,BrokerId_0,Memory_0,AverageQueueTime_0,AverageThroughput_0,AverageServiceTime_0,ResponseTime_0,QueueTime_1,Throughput_1,InterArrivalTime_1,QueueLength_1,Cpu_1,ServiceTime_1,BrokerId_1,Memory_1,AverageQueueTime_1,AverageThroughput_1,AverageServiceTime_1,ResponseTime_1,QueueTime_2,Throughput_2,InterArrivalTime_2,QueueLength_2,Cpu_2,ServiceTime_2,BrokerId_2,Memory_2,AverageQueueTime_2,AverageThroughput_2,AverageServiceTime_2,ResponseTime_2,Timestamp_0,Timestamp_1,Timestamp_2
2024-07-31 15:48:14,localhost:50002,info,Advertisement(apple > 0.1110079995582821) cd151e68-5f0a-4891-baf1-2cbf56157c22,2,1.155442,0.865470,0.229703,3,100.459393,0.000000,2,23855104,1.155442,0.865470,0.000000,1.155442,0.904698,1.105342,0.000128,3,101.229834,0.000000,3,23527424,,,,0.904698,,,,,,,,,,,,,1.1405686,0.0,0.0
2024-07-31 15:48:15,localhost:50002,info,Advertisement(apple > 0.1110079995582821) 81df25f3-f547-4f66-875c-383a6f910207,2,2.059930,0.310427,0.283537,3,100.374383,1.161444,2,24498176,1.607686,0.361124,1.161444,3.221374,1.160759,0.861505,0.000000,1,100.278483,0.000000,1,23511040,,,,1.160759,,,,,,,,,,,,,2.0450576,0.0,0.0
2024-07-31 15:48:16,localhost:50002,info,Advertisement(apple > 0.1110079995582821) b67668f9-506b-4aac-a2bb-aaee733f0ba3,2,3.223895,0.228392,0.283537,2,100.394760,1.154549,2,24526848,2.146422,0.302625,1.157996,4.378444,1.160247,0.861885,0.000000,0,100.522506,0.000000,4,23392256,,,,1.160247,,,,,,,,,,,,,3.2172345999999994,0.0,0.0
2024-07-31 15:48:17,localhost:50002,info,Advertisement(apple > 0.2871794739420366) 153e9370-249c-4426-8145-854b18a84ffa,2,3.723464,0.204565,0.283537,1,100.324071,1.164965,2,24530944,2.540683,0.270197,1.160319,4.888429,1.822999,0.365939,0.000128,2,101.147011,0.909699,3,24170496,,,,2.732698,,,,,,,,,,,,,3.7085904000000003,0.0,0.0
2024-07-31 15:48:19,localhost:50002,info,Advertisement(apple > 0.2871794739420366) 27ca92dd-ff0e-49d2-9981-7e54f1471bfb,3,4.393117,0.179874,0.944623,1,100.321103,1.166321,2,24850432,2.911169,0.245520,1.161820,5.559437,1.157623,0.430316,0.516907,2,100.412884,1.166250,4,24412160,,,,2.323873,1.160759,0.861505,0.000000,0,100.045592,0.000000,5.0,22384640,,,,1.160759,4.3854557,1.1539015,0.0
2024-07-31 15:48:20,localhost:50002,info,Advertisement(apple > 0.4074568139560402) a6bbf587-8b3e-4aba-9680-a268f31f4303,2,1.297562,0.406324,0.863221,1,100.308875,1.163525,2,24956928,2.642235,0.262854,1.162161,2.461088,1.162852,0.432111,0.925744,1,100.320497,1.151366,4,24875008,,,,2.314218,,,,,,,,,,,,,1.2939190999999983,0.0,0.0
2024-07-31 15:48:21,localhost:50002,info,Advertisement(apple > 0.3097812776695712) d1e0761f-6d69-41d5-a79c-da823f5c68fa,2,2.084365,0.307942,0.799720,3,100.256647,1.163000,2,25456640,2.562539,0.268468,1.162301,3.247364,1.541012,0.370647,0.694497,2,100.144624,1.156970,1,24473600,,,,2.697982,,,,,,,,,,,,,2.0706722999999982,0.0,0.0
2024-07-31 15:48:22,localhost:50002,info,Advertisement(apple > 0.09186182070769235) 1559ddac-e84c-49a3-a0b5-206b25c7328e,2,2.087093,0.308052,0.758938,4,100.222218,1.159111,2,25972736,2.503108,0.272855,1.161845,3.246204,2.699527,0.259177,0.716500,4,100.213449,1.158835,1,24891392,,,,3.858362,,,,,,,,,,,,,2.0712201000000015,0.0,0.0
2024-07-31 15:48:23,localhost:50002,info,Advertisement(apple > 0.4616393757438705) 576cfc97-0fc7-4788-8398-683557fe10a3,2,3.176155,0.230695,0.770790,4,100.305982,1.158575,2,26365952,2.577891,0.267428,1.161436,4.334730,2.775055,0.271374,0.463559,8,100.617842,0.909895,3,25509888,,,,3.684950,,,,,,,,,,,,,3.164284000000002,0.0,0.0
2024-07-31 15:48:24,localhost:50002,info,Advertisement(apple > 0.19161246322012176) 943ee16c-3f15-427c-b334-5ef505084933,3,3.619046,0.208828,0.770790,3,100.264931,1.169591,2,26558464,2.682007,0.260122,1.162342,4.788637,2.322933,0.287154,0.925557,1,100.357678,1.159513,4,25387008,,,,3.482446,1.163363,0.430283,1.351263,0,100.019199,1.160691,5.0,23498752,,,,2.324054,3.614911899999999,2.3222287,0.0
2024-07-31 15:48:26,localhost:50002,info,Advertisement(apple > 0.4290916727527659) c950b975-3a2d-4fbd-8737-3a6e2532a611,2,4.582171,0.174115,0.902182,3,100.315151,1.161166,2,26857472,2.854749,0.248944,1.162225,5.743337,3.689516,0.216884,0.502256,8,100.619007,0.921249,3,25780224,,,,4.610766,,,,,,,,,,,,,4.567298299999997,0.0,0.0
2024-07-31 15:48:27,localhost:50002,info,Advertisement(apple > 0.17293926156352538) c88b9052-0844-45e6-af46-dd87a7d6c52d,2,4.839780,0.166677,0.866045,3,100.294449,1.159863,2,27234304,3.020168,0.239110,1.162010,5.999643,4.603754,0.181266,0.502256,7,100.623892,0.913012,3,25907200,,,,5.516766,,,,,,,,,,,,,4.824907400000001,0.0,0.0
2024-07-31 15:48:28,localhost:50002,info,Advertisement(apple > 0.7959978416610208) 8b640d26-0377-44d8-8a35-7063464bbc60,2,5.084159,0.159870,0.879874,4,100.275597,1.170930,2,27680768,3.178937,0.230325,1.162753,6.255090,5.515657,0.155497,0.470730,11,100.804566,0.915322,3,26451968,,,,6.430979,,,,,,,,,,,,,5.069285600000001,0.0,0.0
2024-07-31 15:48:29,localhost:50002,info,Advertisement(apple > 0.9817804897993848) 79e05946-ea93-4907-a1b3-84703c143b9c,2,3.641285,0.208391,0.879874,3,100.218751,1.157388,2,27910144,3.211962,0.228608,1.162341,4.798673,2.709554,0.258146,0.916246,3,100.312269,1.164223,4,26210304,,,,3.873777,,,,,,,,,,,,,3.636623499999999,0.0,0.0
2024-07-31 15:48:30,localhost:50002,info,Advertisement(apple > 0.4217990025554809) 0cf3ecc9-2c40-4278-a756-77ed14fff259,2,4.444361,0.178197,0.958749,3,100.241887,1.167407,2,28147712,3.294122,0.224375,1.162702,5.611768,3.070148,0.236146,0.760600,6,100.196315,1.164519,1,25767936,,,,4.234667,,,,,,,,,,,,,4.431488599999998,0.0,0.0
2024-07-31 15:48:31,localhost:50002,info,Advertisement(apple > 0.34271482898408656) 11473048-5722-4b34-ac52-acce720a49ef,2,4.450050,0.178181,0.955994,3,100.270625,1.162208,2,28434432,3.366367,0.220798,1.162669,5.612258,4.226553,0.185612,0.782197,6,100.181362,1.161031,1,26013696,,,,5.387584,,,,,,,,,,,,,4.4351764,0.0,0.0
2024-07-31 15:48:33,localhost:50002,info,Advertisement(apple > 0.5046290925485122) a72f8243-222a-4088-a7fc-66ac94cd0047,3,4.806114,0.167525,0.954119,3,100.273772,1.163130,2,28729344,3.451058,0.216743,1.162698,5.969244,3.873846,0.198343,0.928764,3,100.272774,1.167933,4,26832896,,,,5.041779,1.158956,0.431523,1.401961,1,100.051668,1.158419,5.0,24129536,,,,2.317375,4.798452899999997,3.872123900000002,0.0
2024-07-31 15:48:34,localhost:50002,info,Advertisement(apple > 0.5046290925485122) 29d16738-495c-449f-bd8f-c67508e46210,2,3.669552,0.206767,0.944622,4,100.240397,1.166807,2,29155328,3.463197,0.216163,1.162940,4.836359,7.336951,0.121220,0.520743,13,100.579865,0.912507,3,27611136,,,,8.249458,,,,,,,,,,,,,3.656680299999998,0.0,0.0
2024-07-31 15:48:35,localhost:50002,info,Advertisement(apple > 0.6812907243342022) df37aa7e-eb0c-4279-ac00-c1c264584874,2,3.923363,0.196641,0.944622,3,100.319161,1.162059,2,29433856,3.487416,0.215040,1.162891,5.085422,8.245316,0.109256,0.482835,17,100.548880,0.907528,3,28078080,,,,9.152845,,,,,,,,,,,,,3.907489299999998,0.0,0.0
2024-07-31 15:48:36,localhost:50002,info,Advertisement(apple > 0.6169107253198922) 6205fb23-f26b-4917-be3f-28983efef626,2,4.165675,0.187727,0.944622,2,100.293568,1.161211,2,29679616,3.521329,0.213487,1.162803,5.326886,9.160965,0.099321,0.500279,17,100.768889,0.907400,3,28315648,,,,10.068365,,,,,,,,,,,,,4.150801300000001,0.0,0.0
2024-07-31 15:48:37,localhost:50002,info,Advertisement(apple > 0.7042722307391034) 7d4460ec-212a-45ce-91c8-a7ddd47ebbfc,2,4.409475,0.179524,1.010738,3,100.277336,1.160799,2,30023680,3.563622,0.211581,1.162702,5.570274,10.075249,0.090969,0.516942,17,100.768435,0.917489,3,28512256,,,,10.992738,,,,,,,,,,,,,4.3941041999999975,0.0,0.0
2024-07-31 15:48:38,localhost:50002,info,Advertisement(apple > 0.24809955291089267) b7c3d60d-831b-4a35-8582-712152d93723,2,4.797141,0.167793,0.978799,4,100.446778,1.162577,2,30990336,3.619691,0.209101,1.162696,5.959718,5.440409,0.151386,0.941605,5,100.245803,1.165208,4,27967488,,,,6.605617,,,,,,,,,,,,,4.793019899999997,0.0,0.0
2024-07-31 15:48:39,localhost:50002,info,Advertisement(apple > 0.4831935864327239) 0a535117-38a7-4052-a79a-35db4dee7189,2,3.316395,0.223010,0.949111,5,100.426242,1.167702,2,31068160,3.606504,0.209669,1.162924,4.484097,8.081968,0.108210,0.732204,12,100.297581,1.159305,1,27291648,,,,9.241273,,,,,,,,,,,,,3.302664100000001,0.0,0.0
2024-07-31 15:48:41,localhost:50002,info,Advertisement(apple > 0.90429140801499) 72e0ed88-f3ab-47ac-8dff-8b1dae61ad4a,3,3.639651,0.208396,0.940554,5,100.571667,1.158912,2,31141888,3.607885,0.209616,1.162750,4.798563,6.222372,0.135316,0.883603,7,100.189168,1.167713,4,28688384,,,,7.390085,2.691077,0.259510,1.216925,2,100.046976,1.162340,5.0,24797184,,,,3.853417,3.632514299999997,6.220650500000001,0.0
2024-07-31 15:48:42,localhost:50002,info,Advertisement(apple > 0.7468882844466566) 5aac49e9-4b02-461e-94cb-0ac005a01005,2,4.480847,0.177275,0.939394,5,100.581900,1.160122,2,31227904,3.642803,0.208097,1.162640,5.640969,9.238173,0.096130,0.744804,12,100.281669,1.164392,1,27508736,,,,10.402565,,,,,,,,,,,,,4.4659738999999945,0.0,0.0
2024-07-31 15:48:43,localhost:50002,info,Advertisement(apple > 0.7671703620824144) ee973b88-3b77-472c-8423-b5857af1f2eb,2,4.774702,0.168462,0.939394,4,100.542901,1.161338,2,31293440,3.686338,0.206231,1.162588,5.936040,10.107036,0.090849,0.493159,19,100.618199,0.900279,3,29466624,,,,11.007314,,,,,,,,,,,,,4.763829700000002,0.0,0.0
