time,Node,level,msg,HopCount,QueueTime_0,Throughput_0,InterArrivalTime_0,QueueLength_0,Cpu_0,ServiceTime_0,BrokerId_0,Memory_0,AverageQueueTime_0,AverageThroughput_0,AverageServiceTime_0,ResponseTime_0,QueueTime_1,Throughput_1,InterArrivalTime_1,QueueLength_1,Cpu_1,ServiceTime_1,BrokerId_1,Memory_1,AverageQueueTime_1,AverageThroughput_1,AverageServiceTime_1,ResponseTime_1,QueueTime_2,Throughput_2,InterArrivalTime_2,QueueLength_2,Cpu_2,ServiceTime_2,BrokerId_2,Memory_2,AverageQueueTime_2,AverageThroughput_2,AverageServiceTime_2,ResponseTime_2,Timestamp_0,Timestamp_1,Timestamp_2
2024-07-22 16:42:18,localhost:50002,info,Advertisement(apple > 0.6023407232859471) 9271bcc3-707a-4d0e-95ab-6e23bca0b200,2,1.156483,0.864691,0.086872,2,100.369094,0.000000,2,23592960,1.156483,0.864691,0.000000,1.156483,0.903435,1.106887,0.000259,3,100.532771,0.000000,3,23392256,,,,0.903435,,,,,,,,,,,,,1.1521763000000007,0.0,0.0
2024-07-22 16:42:19,localhost:50002,info,Advertisement(apple > 0.2637599581809538) 24b7c6aa-16c6-49d5-bb30-ea803cde764f,2,2.060222,0.310298,0.355149,2,100.541000,1.162484,2,24125440,1.608352,0.360902,1.162484,3.222706,1.163051,0.859807,0.000519,1,100.011291,0.000000,1,23535616,,,,1.163051,,,,,,,,,,,,,2.0797928,0.0,0.0
2024-07-22 16:42:20,localhost:50002,info,Advertisement(apple > 0.6023407232859471) 9b4bd920-a139-4e2f-b5b1-2b6fa9867d68,2,3.220524,0.228213,0.544346,2,100.451795,1.161354,2,24502272,2.145743,0.302328,1.161919,4.381878,1.163152,0.859733,0.000000,0,100.167837,0.000000,4,23359488,,,,1.163152,,,,,,,,,,,,,3.215668000000001,0.0,0.0
2024-07-22 16:42:22,localhost:50002,info,Advertisement(apple > 0.6023407232859471) 1d7bde7a-4c45-4b8e-94e7-f3d0d80ee88c,2,3.225055,0.228188,0.544346,1,100.354308,1.157301,2,24510464,2.415571,0.279646,1.160380,4.382356,2.322994,0.286529,0.413584,3,100.700575,1.167052,1,24162304,,,,3.490046,,,,,,,,,,,,,3.244625600000001,0.0,0.0
2024-07-22 16:42:23,localhost:50002,info,Advertisement(apple > 0.2637599581809538) 5c872fd8-5cf0-4f0a-ae0d-9718decdc1d9,2,3.085608,0.235288,0.544346,0,100.394694,1.164511,2,24510464,2.549578,0.269470,1.161413,4.250119,3.624126,0.220984,0.359030,5,100.386514,0.901083,3,24690688,,,,4.525209,,,,,,,,,,,,,3.0813007999999993,0.0,0.0
2024-07-22 16:42:24,localhost:50002,info,Advertisement(apple > 0.8174833705745421) dac361a8-9109-44d4-9069-9798c1986f12,2,1.158829,0.430939,0.868141,1,100.332500,1.161685,2,24653824,2.317787,0.287418,1.161467,2.320515,1.572654,0.365328,0.772111,1,100.509243,1.164613,1,24592384,,,,2.737267,,,,,,,,,,,,,1.1799067999999995,0.0,0.0
2024-07-22 16:42:25,localhost:50002,info,Advertisement(apple > 0.21255260330746353) dfa7e9d3-e5d0-4ec4-87e0-8ad919798afb,2,2.330218,0.285792,0.816910,3,100.301792,1.168831,2,25194496,2.319563,0.287170,1.162695,3.499049,1.572654,0.364662,0.938023,1,100.401248,1.169613,4,24641536,,,,2.742267,,,,,,,,,,,,,2.327866799999999,0.0,0.0
2024-07-22 16:42:27,localhost:50002,info,Advertisement(apple > 0.5788083208587892) ba229d15-7995-4d12-a93e-aa79616614cd,2,2.326847,0.286104,0.825632,3,100.266076,1.168385,2,25538560,2.320473,0.287028,1.163508,3.495233,2.736475,0.255962,0.823345,2,100.424012,1.170351,1,24969216,,,,3.906826,,,,,,,,,,,,,2.348419,0.0,0.0
2024-07-22 16:42:28,localhost:50002,info,Advertisement(apple > 0.6639642998425697) 5f4d11ab-b752-4994-8acf-02c6368b5690,3,3.489146,0.215072,0.833143,3,100.293529,1.160462,2,25841664,2.450326,0.276744,1.163127,4.649608,1.575192,0.364625,0.926037,1,100.323813,1.167351,4,24928256,,,,2.742543,1.157797,0.431250,1.163414,1,100.144799,1.161046,5.0,23941120,,,,2.318843,3.486291399999999,1.5869636000000007,0.0
2024-07-22 16:42:29,localhost:50002,info,Advertisement(apple > 0.8812029103535834) 4940521b-d86d-418e-a46a-b609011ffced,2,3.719764,0.204767,0.848562,4,100.264852,1.163844,2,26300416,2.577270,0.267346,1.163207,4.883609,3.666273,0.218844,0.452792,8,100.310058,0.903192,3,25686016,,,,4.569466,,,,,,,,,,,,,3.7174581999999994,0.0,0.0
