t0B1_Cpu,t0B1_Memory,t0B1_ResponseTime,t0B1_Throughput,t0B2_Cpu,t0B2_Memory,t0B2_ResponseTime,t0B2_Throughput,t0B3_Cpu,t0B3_Memory,t0B3_ResponseTime,t0B3_Throughput,t0B4_Cpu,t0B4_Memory,t0B4_ResponseTime,t0B4_Throughput,t0B5_Cpu,t0B5_Memory,t0B5_ResponseTime,t0B5_Throughput,t1B1_Cpu,t1B1_Memory,t1B1_ResponseTime,t1B1_Throughput,t1B2_Cpu,t1B2_Memory,t1B2_ResponseTime,t1B2_Throughput,t1B3_Cpu,t1B3_Memory,t1B3_ResponseTime,t1B3_Throughput,t1B4_Cpu,t1B4_Memory,t1B4_ResponseTime,t1B4_Throughput,t1B5_Cpu,t1B5_Memory,t1B5_ResponseTime,t1B5_Throughput,t2B1_Cpu,t2B1_Memory,t2B1_ResponseTime,t2B1_Throughput,t2B2_Cpu,t2B2_Memory,t2B2_ResponseTime,t2B2_Throughput,t2B3_Cpu,t2B3_Memory,t2B3_ResponseTime,t2B3_Throughput,t2B4_Cpu,t2B4_Memory,t2B4_ResponseTime,t2B4_Throughput,t2B5_Cpu,t2B5_Memory,t2B5_ResponseTime,t2B5_Throughput,t3B2_Throughput,t4B2_Throughput,t5B2_Throughput,t6B2_Throughput,t7B2_Throughput
0.0,0.0,0.0,0.0,101.996826171875,21110784.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.06806945800781,23252992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.73876190185547,23269376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,101.06806945800781,23252992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.73876190185547,23269376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0157699584961,23273472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,100.73876190185547,23269376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0157699584961,23273472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.2402114868164,23281664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8600500226020813
0.0,0.0,0.0,0.0,100.0157699584961,23273472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.2402114868164,23281664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97196960449219,23285760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8600500226020813,0.3085019886493683
0.0,0.0,0.0,0.0,100.2402114868164,23281664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97196960449219,23285760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96370697021484,23298048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8600500226020813,0.3085019886493683,0.22796599566936493
0.0,0.0,0.0,0.0,99.97196960449219,23285760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96370697021484,23298048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.9791259765625,23302144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8600500226020813,0.3085019886493683,0.22796599566936493,0.20506000518798828
0.0,0.0,0.0,0.0,99.96370697021484,23298048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.9791259765625,23302144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03590393066406,23306240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8600500226020813,0.3085019886493683,0.22796599566936493,0.20506000518798828,0.20495900511741638
0.0,0.0,0.0,0.0,99.9791259765625,23302144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03590393066406,23306240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.11067199707031,23736320.0,1.1627240180969238,0.8600500226020813,99.39636993408203,23515136.0,0.9035630226135254,1.1067299842834473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3085019886493683,0.22796599566936493,0.20506000518798828,0.20495900511741638,0.1812019944190979
0.0,0.0,0.0,0.0,100.03590393066406,23306240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.11067199707031,23736320.0,1.1627240180969238,0.8600500226020813,99.39636993408203,23515136.0,0.9035630226135254,1.1067299842834473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.6847152709961,23453696.0,1.161399006843567,0.8610299825668335,100.01993560791016,24195072.0,3.2414751052856445,0.3085019886493683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22796599566936493,0.20506000518798828,0.20495900511741638,0.1812019944190979,0.4326840043067932
0.0,0.0,0.0,0.0,100.11067199707031,23736320.0,1.1627240180969238,0.8600500226020813,99.39636993408203,23515136.0,0.9035630226135254,1.1067299842834473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.6847152709961,23453696.0,1.161399006843567,0.8610299825668335,100.01993560791016,24195072.0,3.2414751052856445,0.3085019886493683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02397155761719,24453120.0,4.386622905731201,0.22796599566936493,0.0,0.0,0.0,0.0,100.8513412475586,23453696.0,1.161399006843567,0.8610299825668335,0.0,0.0,0.0,0.0,0.20506000518798828,0.20495900511741638,0.1812019944190979,0.4326840043067932,0.2889229953289032
