date,HopCount,Timestamp_0,Cpu_0,Memory_0,InterArrivalTime_0,QueueLength_0,QueueTime_0,ServiceTime_0,ResponseTime_0,Throughput_0,Timestamp_1,Cpu_1,Memory_1,InterArrivalTime_1,QueueLength_1,QueueTime_1,ServiceTime_1,ResponseTime_1,Throughput_1,Timestamp_2,Cpu_2,Memory_2,InterArrivalTime_2,QueueLength_2,QueueTime_2,ServiceTime_2,ResponseTime_2,Throughput_2
2024-06-18 17:31:12,0,0.0,36.25461876046316,26484736,1946.629514,0,1050.721514,1623.472133,2674.193647,0.373944,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:31:13,0,0.0,36.42198309240055,26652672,1994.935537,0,1050.721514,1623.007057,2673.728571,0.374010,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:31:14,2,0.0,36.211050,26664960,2333.077700,0,1045.494837,1623.007057,2668.501894,0.374742,-1.3277377000000001,45.567780,26136576,309.220000,8,2006.537921,1173.416984,3179.954905,0.314470,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:31:15,0,0.0,35.29674983922706,26988544,1994.935537,0,1045.494837,1624.296412,2669.791249,0.374561,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:31:16,2,0.0,34.954226,27136000,720.561200,1,1041.372544,1624.296412,2665.668956,0.375140,-1.3135803999999993,45.164512,26636288,302.491700,10,2383.895831,1172.269380,3556.165211,0.281202,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:31:17,0,0.0,34.641688902155494,27443200,1899.565220,0,1041.372544,1623.779155,2665.151699,0.375213,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:31:18,2,0.0,34.470415,27492352,1601.130600,1,1127.932860,1623.779155,2751.712015,0.363410,-2.712149799999999,37.516166,23605248,1390.677500,0,9.494544,10.166387,19.660931,50.862291,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:31:19,2,0.0,34.327926,27885568,718.896300,1,1200.986000,1623.320280,2824.306280,0.354069,-2.237086399999999,45.266396,27136000,306.413900,12,2857.540700,1170.537264,4028.077964,0.248257,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:31:20,0,0.0,34.129284945376604,28360704,1762.376230,1,1200.986000,1623.595954,2824.581954,0.354035,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:31:21,2,0.0,33.782600,28418048,717.659200,2,1336.706541,1623.595954,2960.302495,0.337803,-3.635779600000003,37.373620,24526848,611.726100,0,10.724766,39.297236,50.022002,19.991203,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:31:22,0,0.0,33.55045934891299,28721152,1687.753585,1,1336.706541,1624.042941,2960.749482,0.337752,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:31:23,2,0.0,33.457100,28831744,1598.589400,2,1454.140523,1624.042941,3078.183464,0.324867,-3.1706714,45.117986,27729920,304.015700,15,3306.111455,1169.450584,4475.562039,0.223436,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:31:24,2,0.0,33.206747,29216768,715.329900,2,1619.666171,1623.741930,3243.408101,0.308318,-4.579207100000001,37.310310,25075712,303.675700,0,11.591313,56.036678,67.627991,14.786777,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:31:25,0,0.0,33.23877467727958,30547968,1620.842976,2,1619.666171,1624.834907,3244.501078,0.308214,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:31:26,2,0.0,33.133309,30654464,701.297500,3,1765.657306,1624.834907,3390.492213,0.294942,-4.118342200000001,45.449031,28246016,121.474600,18,3819.849940,1168.318071,4988.168011,0.200474,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:31:27,2,0.0,32.686877,31141888,698.314100,4,1949.771668,1624.862833,3574.634501,0.279749,-5.518766499999998,36.838875,25501696,303.061000,0,11.945141,70.065856,82.010997,12.193487,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:31:28,0,0.0,32.46470485984695,31379456,1459.760176,5,1949.771668,1624.862833,3574.634501,0.279749,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:31:29,2,0.0,32.479458,31481856,1537.777700,5,2114.326217,1625.419437,3739.745654,0.267398,-5.058821799999997,45.595679,28688384,303.295100,19,4306.198366,1167.328065,5473.526431,0.182698,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:31:30,0,0.0,32.43606996701857,31772672,1430.537160,5,2114.326217,1632.882794,3747.209011,0.266865,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:31:31,2,0.0,32.360406,31772672,709.613300,5,2318.573755,1632.882794,3951.456549,0.253071,-6.596533699999995,36.685207,26243072,307.294900,0,12.344370,77.613115,89.957485,11.116362,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:31:32,2,0.0,32.223491,31940608,615.914200,7,2501.998884,1633.178050,4135.176934,0.241828,-6.108778200000003,45.227907,29126656,309.722500,20,4843.721992,1167.140144,6010.862136,0.166365,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:31:33,0,0.0,32.11685956671275,32104448,1354.444734,7,2501.998884,1633.178050,4135.176934,0.241828,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:31:34,2,0.0,31.935056,32120832,615.914200,6,2713.449040,1632.659068,4346.108108,0.230091,-7.551366399999999,35.990228,27029504,304.432900,0,12.620117,83.041522,95.661639,10.453511,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:31:35,0,0.0,31.777466495943212,32378880,1351.607696,7,2713.449040,1632.752670,4346.201710,0.230086,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:31:36,2,0.0,31.763174,32378880,323.218100,7,2978.594161,1632.752670,4611.346831,0.216856,-9.417923800000004,32.472635,27336704,953.885600,1,1049.241200,1319.792607,2369.033807,0.422113,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:31:37,2,0.0,31.507639,32501760,290.289200,9,3223.716618,1632.268980,4855.985598,0.205931,-8.6767228,44.770223,30294016,305.752500,21,5353.932385,1166.509644,6520.442029,0.153364,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:31:38,0,0.0,31.59642627743882,32620544,1296.250270,9,3223.716618,1632.268980,4855.985598,0.205931,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:31:39,2,0.0,31.423521,32653312,1988.970600,9,3487.283086,1631.917936,5119.201022,0.195343,-10.109482,35.171678,27426816,317.942200,0,12.578432,90.804987,103.383419,9.672731,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:31:40,0,0.0,31.457831627745414,32849920,1288.141781,9,3487.283086,1631.190852,5118.473938,0.195371,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:31:41,2,0.0,31.379551,32849920,335.949800,9,3728.669166,1631.190852,5359.860018,0.186572,-9.589182700000002,44.528409,30433280,304.165800,21,5904.876626,1166.264162,7071.140788,0.141420,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:31:42,2,0.0,31.331370,33034240,364.483300,10,4012.746216,1631.160137,5643.906353,0.177182,-11.9714801,31.923197,28368896,292.466100,4,1346.312233,1318.558282,2664.870515,0.375253,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:31:43,0,0.0,31.424017066011576,33124352,1273.727730,10,4012.746216,1630.590480,5643.336696,0.177200,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:31:44,2,0.0,31.286913,33124352,1348.537200,10,4313.795300,1630.590480,5944.385780,0.168226,-12.652581600000005,34.907377,28246016,318.672300,0,18.770996,95.539144,114.310140,8.748130,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:31:45,2,0.0,31.212472,33312768,1348.537200,9,4567.691474,1630.960557,6198.652031,0.161325,-11.987265300000004,34.825274,29011968,311.047900,0,17.475974,97.467493,114.943467,8.699929,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:31:46,0,0.0,31.198750816101178,33394688,1292.367978,11,4567.691474,1630.960557,6198.652031,0.161325,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:31:47,2,0.0,31.416230,33447936,74.108700,11,4851.400628,1631.942318,6483.342946,0.154241,-12.8210811,44.068731,30584832,1791.043900,20,6730.374815,1160.697243,7891.072058,0.126725,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:31:48,0,0.0,31.433683719623552,33820672,1261.130561,10,4851.400628,1632.566367,6483.966995,0.154227,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:31:49,2,0.0,31.392521,33865728,396.101000,12,5102.437437,1632.566367,6735.003804,0.148478,-12.953279100000003,34.202756,29626368,316.077900,0,17.261666,101.786409,119.048075,8.399968,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:31:50,2,0.0,31.149594,34103296,844.543700,13,5389.989513,1632.230034,7022.219547,0.142405,-14.8657179,31.718442,30466048,307.900000,7,2025.832790,1319.489985,3345.322775,0.298925,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:31:51,0,0.0,31.1528588926957,34328576,1219.834670,14,5389.989513,1632.230034,7022.219547,0.142405,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:31:52,2,0.0,31.163024,34439168,294.039600,13,5702.131180,1632.155443,7334.286623,0.136346,-15.388620499999995,43.600553,30711808,1305.026600,20,7313.674545,1161.064150,8474.738695,0.117998,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:31:53,0,0.0,30.91698111310403,34496512,1217.303615,14,5702.131180,1631.689700,7333.820880,0.136355,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:31:54,2,0.0,30.819339,34496512,104.937900,14,5983.474612,1631.689700,7615.164312,0.131317,-15.512325900000008,34.268413,31371264,330.108000,0,25.202405,101.184997,126.387402,7.912181,0.0,0,0,0,0,0,0,0,0
