time,Node,level,msg,HopCount,QueueTime_0,Throughput_0,InterArrivalTime_0,QueueLength_0,Cpu_0,ServiceTime_0,BrokerId_0,Memory_0,AverageQueueTime_0,AverageThroughput_0,AverageServiceTime_0,ResponseTime_0,QueueTime_1,Throughput_1,InterArrivalTime_1,QueueLength_1,Cpu_1,ServiceTime_1,BrokerId_1,Memory_1,AverageQueueTime_1,AverageThroughput_1,AverageServiceTime_1,ResponseTime_1,QueueTime_2,Throughput_2,InterArrivalTime_2,QueueLength_2,Cpu_2,ServiceTime_2,BrokerId_2,Memory_2,AverageQueueTime_2,AverageThroughput_2,AverageServiceTime_2,ResponseTime_2,Timestamp_0,Timestamp_1,Timestamp_2
2024-08-03 19:29:35,localhost:50002,info,Advertisement(apple > 0.8346767073039755) ca036fac-2b7f-4d21-9e1f-81f1f4dbedb0,2,1.162724,0.860050,0.227600,3,100.110671,0.000000,2,23736320,1.162724,0.860050,0.000000,1.162724,0.903563,1.106730,0.001165,3,99.396370,0.000000,3,23515136,,,,0.903563,,,,,,,,,,,,,1.1677253000000007,0.0,0.0
2024-08-03 19:29:36,localhost:50002,info,Advertisement(apple > 0.5348975819733137) 76ad8890-e29f-41cb-8e1d-7df43ca35e1b,2,2.070749,0.308502,0.284757,3,100.019933,1.170726,2,24195072,1.616736,0.358749,1.170726,3.241475,1.161399,0.861030,0.001046,1,99.684715,0.000000,1,23453696,,,,1.161399,,,,,,,,,,,,,2.0706454,0.0,0.0
2024-08-03 19:29:37,localhost:50002,info,Advertisement(apple > 0.5348975819733137) 25a1782f-2262-442b-80cd-c6baedb9f34a,2,3.224251,0.227966,0.284757,2,100.023972,1.162372,2,24453120,2.152574,0.301284,1.166549,4.386623,1.161399,0.861030,0.000000,0,100.851342,0.000000,4,23453696,,,,1.161399,,,,,,,,,,,,,3.274210700000001,0.0,0.0
2024-08-03 19:29:38,localhost:50002,info,Advertisement(apple > 0.5348975819733137) 9948d2fd-d7a6-4671-bfde-4677809e5177,2,3.726109,0.205060,0.284757,1,100.046152,1.150501,2,24461312,2.545958,0.269748,1.161200,4.876610,1.814963,0.367171,0.001165,2,99.399814,0.908564,3,24133632,,,,2.723527,,,,,,,,,,,,,3.73011,0.0,0.0
2024-08-03 19:29:40,localhost:50002,info,Advertisement(apple > 0.5010479585914438) 4996a6de-461e-4014-94a2-83b7ed36aee1,3,4.365799,0.181202,0.284757,0,100.063807,1.152909,2,24477696,2.909926,0.245757,1.159127,5.518708,1.161434,0.429399,0.519194,2,100.808678,1.167401,4,24334336,,,,2.328835,1.161911,0.860651,0.000000,0,99.684467,0.000000,5.0,22827008,,,,1.161911,4.4137578999999985,1.1623180000000009,0.0
2024-08-03 19:29:41,localhost:50002,info,Advertisement(apple > 0.49863495724809503) c4dcc089-3b07-41c9-8efd-3d8f2f3d49a8,2,1.152081,0.432684,0.866849,1,100.196456,1.159075,2,24952832,2.616952,0.264826,1.159117,2.311156,1.586525,0.364631,0.837704,2,99.823197,1.155974,1,24502272,,,,2.742499,,,,,,,,,,,,,1.152978000000001,0.0,0.0
2024-08-03 19:29:42,localhost:50002,info,Advertisement(apple > 0.32595673065644415) 528810ba-405a-4121-8473-365cb957a32e,2,2.299258,0.288923,0.910095,2,100.324775,1.161868,2,25321472,2.571567,0.268014,1.159575,3.461126,1.601528,0.361522,0.894820,0,100.548148,1.164555,4,24932352,,,,2.766083,,,,,,,,,,,,,2.3487633,0.0,0.0
2024-08-03 19:29:43,localhost:50002,info,Advertisement(apple > 0.6934348836845214) 7ddc043f-25e0-48b8-b695-eae920c81c61,3,2.295912,0.289364,0.910035,2,100.238910,1.159941,2,25714688,2.537110,0.270509,1.159628,3.455854,1.159833,0.431145,0.902479,2,100.696750,1.159572,4,25423872,,,,2.319405,1.608075,0.360278,1.073886,0,99.887580,1.167555,5.0,24076288,,,,2.775631,2.344871399999999,1.1617241000000007,0.0
2024-08-03 19:29:44,localhost:50002,info,Advertisement(apple > 0.6934348836845214) b4db7c3b-3049-42a1-9427-68419b1d4147,2,2.512166,0.271690,0.910074,2,100.247755,1.168497,2,26066944,2.534339,0.270630,1.160736,3.680663,3.724987,0.215575,0.427412,9,99.481699,0.913776,3,25817088,,,,4.638763,,,,,,,,,,,,,2.5171673000000006,0.0,0.0
2024-08-03 19:29:46,localhost:50002,info,Advertisement(apple > 0.32595673065644415) 9322ac2f-0997-4538-a0f5-58884ef0af85,2,2.771030,0.254008,0.916437,2,100.250686,1.165850,2,26370048,2.558008,0.268867,1.161305,3.936880,4.635481,0.180303,0.464088,9,99.484277,0.910727,3,26030080,,,,5.546207,,,,,,,,,,,,,2.7750315000000008,0.0,0.0
