date,HopCount,Timestamp_0,BrokerId_0,Cpu_0,Memory_0,InterArrivalTime_0,QueueLength_0,QueueTime_0,ServiceTime_0,ResponseTime_0,Throughput_0,Timestamp_1,BrokerId_1,Cpu_1,Memory_1,InterArrivalTime_1,QueueLength_1,QueueTime_1,ServiceTime_1,ResponseTime_1,Throughput_1,BrokerId_2,Cpu_2,Memory_2,InterArrivalTime_2,QueueLength_2,QueueTime_2,ServiceTime_2,ResponseTime_2,Throughput_2
2024-08-03 19:29:47,2.0,3.0164900999999986,2.0,100.257137,26386432,0.916437,1,3.012489,1.162829,4.175319,0.239503,0.0,3.0,99.649843,26726400,0.429595,13,5.543948,0.909495,6.453442,0.154956,0.0,0,0,0,0,0,0,0,0
2024-08-03 19:29:48,2.0,3.239283199999999,2.0,100.142994,26685440,1.089425,1,3.190324,1.160092,4.350416,0.229863,0.0,4.0,100.607062,25911296,1.056055,1,1.164448,1.157196,2.321644,0.430729,0.0,0,0,0,0,0,0,0,0
2024-08-03 19:29:49,2.0,1.1947166999999972,2.0,100.216668,27037696,1.021822,2,1.192820,1.161605,2.354424,0.424732,0.0,1.0,99.751565,25513984,0.774333,5,4.328719,1.164958,5.493677,0.182027,0.0,0,0,0,0,0,0,0,0
2024-08-03 19:29:50,3.0,2.1035047999999996,2.0,100.171272,27045888,1.021822,1,2.052545,1.162264,3.214809,0.311061,2.5856707000000014,4.0,100.450703,26329088,0.995680,1,2.583787,1.151612,3.735399,0.267709,5.0,99.743146,24834048,1.157942,2,2.043579,1.166175,3.209754,0.311550
2024-08-03 19:29:51,2.0,2.3612933,2.0,100.174454,27340800,1.049966,1,2.362396,1.170878,3.533275,0.283024,0.0,1.0,99.779984,25882624,0.766762,7,5.495529,1.167767,6.663296,0.150076,0.0,0,0,0,0,0,0,0,0
2024-08-03 19:29:52,0.0,0.0,0.0,100.25481211448944,27643904,1.049966,0,2.362396,1.169510,3.531906,0.283133,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
2024-08-03 19:29:53,2.0,2.1032669000000013,2.0,100.254564,27734016,1.056849,1,2.053298,1.169510,3.222808,0.310288,0.0,4.0,100.394060,26685440,1.079086,1,1.600499,1.164816,2.765315,0.361622,0.0,0,0,0,0,0,0,0,0
2024-08-03 19:29:54,3.0,2.100850300000001,2.0,100.208991,28110848,1.061262,1,2.052891,1.165540,3.218431,0.310710,1.6046373000000003,4.0,100.387697,27049984,1.033543,2,1.605108,1.166472,2.771580,0.360805,5.0,99.796402,25178112,1.272427,1,1.160708,1.162010,2.322718,0.430530
2024-08-03 19:29:55,2.0,2.085798200000003,2.0,100.229589,28372992,1.100737,1,2.079797,1.163698,3.243495,0.308309,0.0,3.0,99.831274,28340224,0.482144,19,9.268916,0.909619,10.178535,0.098246,0.0,0,0,0,0,0,0,0,0
2024-08-03 19:29:56,2.0,1.4368596999999994,2.0,100.195367,28741632,1.013289,3,1.432859,1.163548,2.596407,0.385148,0.0,3.0,99.890766,28975104,0.466649,22,11.079205,0.902240,11.981445,0.083462,0.0,0,0,0,0,0,0,0,0
2024-08-03 19:29:57,2.0,1.8306565,2.0,100.197705,28839936,1.019950,3,1.780697,1.158350,2.939047,0.340246,0.0,4.0,100.337350,27500544,1.104778,1,1.161624,1.171577,2.333201,0.428596,0.0,0,0,0,0,0,0,0,0
2024-08-03 19:29:58,2.0,2.8498994999999994,2.0,100.199951,28966912,1.019950,2,2.846396,1.158229,4.004625,0.249711,0.0,3.0,99.935569,29102080,0.466649,21,11.987656,0.909049,12.896705,0.077539,0.0,0,0,0,0,0,0,0,0
2024-08-03 19:29:59,0.0,0.0,0.0,100.2152332475855,29196288,1.019950,1,2.846396,1.170799,4.017195,0.248930,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
2024-08-03 19:30:00,2.0,3.5482153000000025,2.0,100.199243,29315072,1.050275,2,3.546279,1.170799,4.717078,0.211996,0.0,1.0,99.849964,26734592,0.761951,9,7.093402,1.161272,8.254673,0.121143,0.0,0,0,0,0,0,0,0,0
2024-08-03 19:30:01,2.0,3.543684800000001,2.0,100.171441,29523968,1.050275,1,3.543788,1.167826,4.711614,0.212241,0.0,1.0,99.865643,27062272,0.757118,10,8.260900,1.170214,9.431114,0.106032,0.0,0,0,0,0,0,0,0,0
2024-08-03 19:30:02,3.0,3.014132400000001,2.0,100.170736,29925376,1.091352,1,2.966172,1.163928,4.130100,0.242125,2.5788612999999962,4.0,100.379983,28049408,1.112302,1,2.576977,1.164302,3.741279,0.267288,5.0,99.835498,25833472,1.235248,2,2.068848,1.161479,3.230328,0.309566
2024-08-03 19:30:03,2.0,2.0522513000000018,2.0,100.447139,31051776,1.039507,3,2.046250,1.170127,3.216376,0.310909,0.0,3.0,99.929566,30646272,0.489741,26,12.085355,0.909022,12.994377,0.076956,0.0,0,0,0,0,0,0,0,0
